Название книги,Автор книги,Издательство,Цена,Скидка на книгу
Программирование в САПР. Пространственное моделирование колонного аппарата в среде Autodesk Inventor,Лянг Виктор Федорович,ИНФРА-М,1 412 ₽,Нет скидки
Искусство тестирования на проникновение в сеть,Дэвис Ройс,ДМК-Пресс,1 628 ₽,Нет скидки
Построение пользовательских интерфейсов,Малышев Кирилл Викторович,ДМК-Пресс,1 333 ₽,Нет скидки
Data Science для карьериста,"Нолис, Робинсон",Питер,2 459 ₽,Нет скидки
"Экстремальный Cи. Параллелизм, ООП и продвинутые возможности",Амини Камран,Питер,3 105 ₽,Нет скидки
Программирование на C# для начинающих. Основные сведения,Васильев Алексей Николаевич,Бомбора,1 124 ₽,Нет скидки
Теоретический минимум по Computer Science. Все что нужно программисту и разработчику,Феррейра Фило Владстон,Питер,921 ₽,Нет скидки
Паттерны объектно-ориентированного проектирования,"Гамма, Хелм, Джонсон",Питер,1 029 ₽,Нет скидки
Высокопроизводительные Python-приложения. Практическое руководство по эффективному программированию,"Горелик, Йен",Бомбора,1 499 ₽,Нет скидки
Алгоритмы неформально. Инструкция для начинающих питонистов,Брэдфорд Такфилд,Питер,1 417 ₽,Нет скидки
Этичный хакинг. Практическое руководство по взлому,Грэм Дэниел Г.,Питер,2 255 ₽,Нет скидки
"Экстремальный Cи. Параллелизм, ООП и продвинутые возможности",Амини Камран,Питер,3 105 ₽,Нет скидки
Программная инженерия. Учебное пособие,Маран Михкель Михкелевич,Лань,1 573 ₽,Нет скидки
Системы искусственного интеллекта. Учебное пособие,Бураков Михаил Владимирович,Проспект,633 ₽,Нет скидки
Алгоритмы обработки текста. 125 задач с решениями,"Крошемор, Лекрок, Риттер",ДМК-Пресс,1 481 ₽,Нет скидки
Аналитика в Power BI с помощью R и Python,Уэйд Райан,ДМК-Пресс,1 924 ₽,Нет скидки
Программирование. Введение в профессию. Том 2. Системы и сети,Столяров Андрей Викторович,ДМК-Пресс,2 517 ₽,Нет скидки
Программирование. Введение в профессию. Том 3. Парадигмы,Столяров Андрей Викторович,ДМК-Пресс,2 517 ₽,Нет скидки
C#. Алгоритмы и структуры данных. Учебное пособие для вузов,"Тюкачев, Хлебостроев",Лань,2 749 ₽,Нет скидки
"Python, например",Лейси Никола,Питер,1 589 ₽,Нет скидки
"Изучаем SQL. Генерация, выборка и обработка данных",Болье Алан,Диалектика,2 852 ₽,Нет скидки
Знакомство с программированием на языке Processing,"Риас, Фрай",ДМК-Пресс,1 110 ₽,Нет скидки
Принятие решений и феномен неопределенности. Учебное пособие,Клименко Игорь Семенович,Лань,1 208 ₽,Нет скидки
C#. Основы программирования (+CD). Учебное пособие для СПО,"Тюкачев, Хлебостроев",Лань,1 569 ₽,Нет скидки
JavaScript для глубокого обучения. TensorFlow.js,"Шолле, Нильсон, Байлесчи",Питер,3 545 ₽,Нет скидки
Введение в язык Си++,Столяров Андрей Викторович,ДМК-Пресс,888 ₽,Нет скидки
Оформление программного кода,Столяров Андрей Викторович,ДМК-Пресс,740 ₽,Нет скидки
"Профессиональное программирование на ассемблере x64 с расширениями AVX, AVX2 и AVX-512",Куссвюрм Даниэль,ДМК-Пресс,2 443 ₽,Нет скидки
Безопасность контейнеров. Фундаментальный подход к защите контейнеризированных приложений,Райс Лиз,Питер,2 263 ₽,Нет скидки
Те же 10 вопросов через 20 лет. Офис и компьютер,Проскурин Сергей Павлович,Деловой двор,258 ₽,Нет скидки
Программирование. Введение в профессию. Том 1. Азы программирования,Столяров Андрей Викторович,ДМК-Пресс,2 517 ₽,Нет скидки
Имитационное моделирование процессов и систем в АПК. Учебное пособие,"Худякова, Липатов",Колос,1 862 ₽,Нет скидки
ВОСХОД программиста,Земцов А. Н.,Деловой двор,920 ₽,Нет скидки
JavaScript с нуля,Чиннатамби Кирупа,Питер,1 545 ₽,Нет скидки
Наглядный CSS,Сидельников Грег,Питер,1 404 ₽,Нет скидки
Scala. Профессиональное программирование,"Одерски, Спун, Веннерс",Питер,5 332 ₽,Нет скидки
Основы разработки iOS-приложений на C# с помощью Xamarin. Учебное пособие для вузов,Умрихин Евгений Дмитриевич,Лань,1 824 ₽,Нет скидки
Основы разработки iOS-приложений на C# с помощью Xamarin.СПО,Умрихин Евгений Дмитриевич,Лань,1 739 ₽,Нет скидки
Программирование. Сборник задач. Учебное пособие для СПО,"Маран, Батасова, Гречкина",Лань,1 074 ₽,Нет скидки
Математическое программирование.СПО,Ганичева Антонина Валериановна,Лань,989 ₽,Нет скидки
Программирование на ассемблере х64. От начального уровня до профессионального использования AVX64,Йо Ван Гуй,ДМК-Пресс,1 777 ₽,Нет скидки
Обработка и представление данных в MS Excel. Учебное пособие,"Бурнаева, Леора",Лань,717 ₽,Нет скидки
Парадигма программирования. Учебное пособие,Городняя Лидия Васильевна,Лань,1 394 ₽,Нет скидки
ASP.NET Core 3 с примерами на C# для профессионалов,Фримен Адам,Вильямс,5 702 ₽,Нет скидки
Создаем динамические веб-сайты на PHP,"Татро, Макинтайр",Питер,2 325 ₽,Нет скидки
Теория вероятностей и математическая статистика в среде MATLAB. Учебное пособие,Алибеков Игорь Юсупович,Лань,1 128 ₽,Нет скидки
HTTP/2 в действии,Поллард Барри,ДМК-Пресс,2 368 ₽,Нет скидки
Методика моделирования динамики октокоптера,Щекатуров Александр Михайлович,ДМК-Пресс,1 481 ₽,Нет скидки
"Байесовская статистика. Star Wars, LEGO, резиновые уточки и многое другое",Курт Уилл,Питер,2 793 ₽,Нет скидки
Python. Лучшие практики и инструменты,"Яворски, Зиаде",Питер,2 793 ₽,Нет скидки
C# 9.0. Карманный справочник,"Албахари, Албахари",Диалектика,1 426 ₽,Нет скидки
Теория автоматического управления (с использованием MATLAB - SIMULINK). Учебное пособие,"Пащенко, Кудинов",Лань,2 085 ₽,Нет скидки
Обработка естественного языка. Python и spaCy на практике,Васильев Юрий,Питер,1 554 ₽,Нет скидки
Python для финансовых расчетов,Хилпиш Ив,Диалектика,7 128 ₽,Нет скидки
Разработка и анализ компьютерных алгоритмов,"Ахо, Ульман, Хопкрофт",Вильямс,2 187 ₽,Нет скидки
Научное программирование на Python,Хилл Кристиан,ДМК-Пресс,2 368 ₽,Нет скидки
C#. Алгоритмы и структуры данных (+CD). СПО,"Тюкачев, Хлебостроев",Лань,1 353 ₽,Нет скидки
C#. Программирование 2D и 3D векторной графики +CD. СПО,"Тюкачев, Хлебостроев",Лань,1 569 ₽,Нет скидки
Алгоритмизация и программирование. Практикум. СПО,Андрианова Анастасия Александровна,Лань,1 230 ₽,Нет скидки
Организация беспроводных Ad Hoc и Hot Spot сетей в среде ОС Windows,"Заяц, Хабаров",Лань,1 240 ₽,Нет скидки
Построение распределенных систем на базе WebSocket. Учебное пособие,"Хабаров, Шилкина",Лань,1 168 ₽,Нет скидки
Практическое введение в язык программирования Си. СПО,"Солдатенко, Попов",Лань,791 ₽,Нет скидки
Проектирование и разработка WEB-приложений. Введение в frontend и backend разработку. СПО,"Заяц, Васильев",Лань,901 ₽,Нет скидки
Простой Python для опытных программистов,Гаско Рик,Солон-пресс,741 ₽,Нет скидки
Профессиональная разработка на Python,Уилкс Мэттью,ДМК-Пресс,2 814 ₽,Нет скидки
Программируй & типизируй,Ришкуция Влад,Питер,2 240 ₽,Нет скидки
Основы Python. Научитесь мыслить как программист,Дауни Аллен Б.,"Манн, Иванов и Фербер",1 461 ₽,Нет скидки
SimInTech. Преобразователи автономных источников электроэнергии,"Калачёв, Александров",ДМК-Пресс,1 110 ₽,Нет скидки
JavaScript. Готовые программы. Учебное пособие,Янцев Валерий Викторович,Лань,1 043 ₽,Нет скидки
JavaScript. Готовые программы. СПО,Янцев Валерий Викторович,Лань,1 074 ₽,Нет скидки
TypeScript быстро,"Файн, Моисеев",Питер,2 495 ₽,Нет скидки
Чистая архитектура. Искусство разработки программного обеспечения,Мартин Роберт С.,Питер,1 115 ₽,Нет скидки
Архитектура компьютера,"Таненбаум, Остин",Питер,2 212 ₽,Нет скидки
Изучаем программирование на Python,Бэрри Пол,Эксмо,1 590 ₽,Нет скидки
"Изучаем Python. Программирование игр, визуализация данных, веб-приложения",Мэтиз Эрик,Питер,1 667 ₽,Нет скидки
Идеальный программист. Как стать профессионалом разработки ПО,Мартин Роберт С.,Питер,821 ₽,Нет скидки
"Чистый код. Создание, анализ и рефакторинг",Мартин Роберт С.,Питер,899 ₽,Нет скидки
C# 8 и .NET Core. Разработка и оптимизация,Прайс Марк Дж.,Питер,3 457 ₽,Нет скидки
Разработка базы данных в Access. Учебное пособие,Волик Мария Владимировна,Прометей,356 ₽,Нет скидки
Основы программирования на языке С. Учебное пособие,"Гагарина, Дорогова",ИНФРА-М,1 782 ₽,Нет скидки
Python. Быстрый старт,Чан Джейми,Питер,1 077 ₽,Нет скидки
C++ для профи,Лоспинозо Джош,Питер,3 261 ₽,Нет скидки
Интеллектуальные информационные системы и методы искусственного интеллекта,"Андрейчиков, Андрейчикова",ИНФРА-М,3 393 ₽,Нет скидки
Инструментальные средства разработки программного обеспечения Системы Fossil,Орещенков Игорь Сергеевич,Лань,1 648 ₽,Нет скидки
"Эффективный Java. Тюнинг кода на Java 8, 11 и дальше",Оукс Скотт,Питер,3 244 ₽,Нет скидки
Python. Сборник упражнений,Стивенсон Бен,ДМК-Пресс,1 036 ₽,Нет скидки
Совершенный алгоритм. Алгоритмы для NP-трудных задач,Рафгарден Тим,Питер,1 888 ₽,Нет скидки
"Стильный Java. Код, который работает всегда и везде",Фаэлла Марко,Питер,2 430 ₽,Нет скидки
Внедрение зависимостей на платформе .NET,"Симан, Дерсен",Питер,3 244 ₽,Нет скидки
Карьера программиста,Лакман Макдауэлл Гейл,Питер,2 127 ₽,Нет скидки
Глубокое обучение. Легкая разработка проектов на Python,Вейдман Сет,Питер,2 901 ₽,Нет скидки
Паттерны проектирования для C# и платформы .NET Core,"Арораа, Чилберто",Питер,3 347 ₽,Нет скидки
Структуры и алгоритмы обработки данных. Учебник для СПО,"Павлов, Первова",Лань,956 ₽,Нет скидки
Численные методы и программирование. Учебное пособие для СПО,Слабнов Виктор Дмитриевич,Лань,2 685 ₽,Нет скидки
Технология разработки программного обеспечения. Учебное пособие для СПО,Зубкова Татьяна Михайловна,Лань,1 613 ₽,Нет скидки
Изучаем C++ через программирование игр,Доусон Майкл,Питер,1 417 ₽,Нет скидки
Совершенный софт. Совершенный софт - совершенная карьера,Леве Джувел,Питер,2 214 ₽,Нет скидки
"Spark в действии. С примерами Java, Python и Scala",Перрен Жан-Жорж,ДМК-Пресс,2 814 ₽,Нет скидки
Изучаем Power Query. Наглядный подход к подключению и преобразованию данных из множества источников,"Фоукс, Спарроу",ДМК-Пресс,1 481 ₽,Нет скидки
Секреты Python Pro,Хиллард Дейн,Питер,2 386 ₽,Нет скидки
Программирование на Python в примерах и задачах,Васильев Алексей Николаевич,Бомбора,1 124 ₽,Нет скидки
Моделирование и оптимизация процессов управления в технологических системах. Учебник,"Колтунов, Крыжановская",Кнорус,862 ₽,Нет скидки
Квантовые вычисления. Прикладной подход,Хидари Джек Д.,ДМК-Пресс,1 481 ₽,Нет скидки
JavaScript. Полное руководство,Флэнаган Дэвид,Вильямс,4 278 ₽,Нет скидки
Проектирование информационных систем. Методы и средства структурно-функционального проектирования,"Гвоздева, Баллод",Лань,870 ₽,Нет скидки
Структуры дан.в C#.Лин.и нелин.динамич.структ.СПО,Симонова Елена Витальевна,Лань,927 ₽,Нет скидки
"Проектирование информационных систем. Стандартизация, техническое документирование информ. систем","Гвоздева, Баллод",Лань,1 142 ₽,Нет скидки
Системы отображения информации. Дискретные индикаторы. Учебник для вузов,Смирнов Виктор Михайлович,Лань,1 775 ₽,Нет скидки
"Инфокоммуникационные системы. Протоколы,интерфейсы. Практикум. СПО",Журавлев Антон Евгеньевич,Лань,1 494 ₽,Нет скидки
Нечеткое моделирование и управление в технических системах. Учебное пособие для вузов,"Кудинов, Пащенко, Пащенко",Лань,1 613 ₽,Нет скидки
Мультимедийные технологии. Учебник для СПО,Катунин Геннадий Павлович,Лань,2 434 ₽,Нет скидки
"Swift. Основы разработки приложений под iOS, iPadOS и macOS",Усов Василий,Питер,1 974 ₽,Нет скидки
Система модулей Java,Парлог Николай,Питер,2 558 ₽,Нет скидки
Игровой движок. Программирование и внутреннее устройство,Грегори Джейсон,Питер,5 460 ₽,Нет скидки
Принципы юнит-тестирования,Хориков Владимир,Питер,1 413 ₽,Нет скидки
Простой Python. Современный стиль программирования,Любанович Билл,Питер,2 043 ₽,Нет скидки
Kotlin. Сборник рецептов. Предметный подход,Коузен Кен,ДМК-Пресс,1 184 ₽,Нет скидки
Олимпиадное программирование,Лааксонен Антти,ДМК-Пресс,1 554 ₽,Нет скидки
Алгоритмы и структуры данных. Учебное пособие,Мясникова Нелли Александровна,Кнорус,1 078 ₽,Нет скидки
Компьютерная арифметика. Учебное пособие. СПО (+CD),Иорданский Михаил Анатольевич,Лань,809 ₽,Нет скидки
Программирование. Практикум. Учебное пособие,Быкадорова Елена Анатольевна,Лань,376 ₽,Нет скидки
Системное программное обеспечение информационных мультимедиасистем. Учебное пособие,"Иванько, Иванько",Лань,520 ₽,Нет скидки
Распределенные системы,"Таненбаум, Стин",ДМК-Пресс,2 814 ₽,Нет скидки
Основы алгоритмизации и программирования на PythonОсновы алгоритмизации и программирования на Python,Гуриков Сергей Ростиславович,Форум,2 481 ₽,Нет скидки
Android. Программирование для профессионалов,"Филлипс, Марсикано, Стюарт",Питер,2 224 ₽,Нет скидки
Алгебра и геометрия с примерами на Python. Учебное пособие,"Борзунов, Кургалин",Лань,3 115 ₽,Нет скидки
Организация и архитектура ЭВМ. Вычислительные системы. Учебное пособие,Журавлев Антон Евгеньевич,Лань,985 ₽,Нет скидки
Корпоративные информационные системы. Администрирование сетевого домена. Учебное пособие,"Журавлев, Макшанов, Тындыкарь",Лань,1 277 ₽,Нет скидки
Введение в программирование на языке Visual Basic for Applications (VBA). Учебное пособие,Гуриков Сергей Ростиславович,ИНФРА-М,1 868 ₽,Нет скидки
Hello World! Программирование для детей и взрослых,"Сэнд, Сэнд",ДМК-Пресс,1 333 ₽,Нет скидки
Методология создания информационных систем. Учебное пособие,"Карминский, Черников",ИНФРА-М,1 640 ₽,Нет скидки
"Разработка бизнес-приложений на платформе ""1С: Предприятие"". Учебное пособие",Дадян Эдуард Григорьевич,ИНФРА-М,1 668 ₽,Нет скидки
Время UNIX. A History and a Memoir,Керниган Брайан,Питер,1 331 ₽,Нет скидки
Проектирование информационных систем. Учебное пособие. СПО,Вейцман Владимир Моисеевич,Лань,1 692 ₽,Нет скидки
Создание сайтов на основе WordPress. Учебное пособие для СПО,Сергеев Алексей Николаевич,Лань,666 ₽,Нет скидки
"Интеграция управления программой и системной инженерии. Методы, инструменты и организационные систем","Мицуфуджи, Хардинг, Мозер",ДМК-Пресс,2 221 ₽,Нет скидки
Современный JavaScript для нетерпеливых,Хорстман Кэй С.,ДМК-Пресс,1 628 ₽,Нет скидки
Программирование на C# для начинающих. Основные сведения,Васильев Алексей Николаевич,Бомбора,1 124 ₽,Нет скидки
Алгоритмы. Самый краткий и понятный курс,Луридас Панос,Бомбора,607 ₽,Нет скидки
Программирование на C++ в примерах и задачах,Васильев Алексей Николаевич,Эксмо-Пресс,760 ₽,Нет скидки
Глубокое обучение. Погружение в мир нейронных сетей,"Николенко, Кадурин, Архангельская",Питер,1 554 ₽,Нет скидки
"Высоконагруженные приложения. Программирование, масштабирование, поддержка",Клеппман Мартин,Питер,2 962 ₽,Нет скидки
Высокопроизводительные Python-приложения. Практическое руководство по эффективному программированию,"Горелик, Йен",Бомбора,1 499 ₽,Нет скидки
Инфокоммуникационные системы. Учебник,"Журавлев, Макшанов, Иванищев",Лань,2 171 ₽,Нет скидки
Программирование на Rust. Официальный гайд,"Клабник, Николс",Питер,3 416 ₽,Нет скидки
Проектирование информационных систем. Учебное пособие,Коваленко Владимир Васильевич,Форум,2 296 ₽,Нет скидки
Профессиональный TypeScript. Разработка масштабируемых JavaScript-приложений,Черный Борис,Питер,1 700 ₽,Нет скидки
"Подробное руководство по DAX: бизнес-аналитика с Microsoft Power Bl, SQL Server Analysis Services","Феррари, Руссо",ДМК-Пресс,3 035 ₽,Нет скидки
Хаос-инжиниринг,"Розенталь, Джонс",ДМК-Пресс,1 481 ₽,Нет скидки
Цифровая обработка сигналов на системном уровне с использованием LabVIEW,"Кехтарнаваз, Ким",ДМК-Пресс,1 333 ₽,Нет скидки
Основы программирования. Учебник с практикумом,"Макарова, Нилова, Зеленина",Кнорус,1 294 ₽,Нет скидки
"Дискретная оптимизация. Модели, методы, алгоритмы решения прикладных задач",Струченков Валерий Иванович,Солон-пресс,544 ₽,Нет скидки
Базы данных. Учебник,Кумскова Ирина Александровна,Кнорус,1 186 ₽,Нет скидки
Спортивное программирование,"Халим, Халим",ДМК-Пресс,2 368 ₽,Нет скидки
Python и наука о данных для чайников,"Мюллер, Массарон",Диалектика,2 187 ₽,Нет скидки
Криптография - наука о тайнописи. Учебное пособие,Фомичев Владимир Михайлович,Прометей,356 ₽,Нет скидки
Искусство тестирования программ,"Сандлер, Майерс, Баджетт",Диалектика,2 852 ₽,Нет скидки
Прикладное программирование. Учебное пособие,Никифоров Сергей Николаевич,Лань,568 ₽,Нет скидки
Python для программирования криптовалют,Сонг Джимми,Диалектика,3 612 ₽,Нет скидки
Алгоритмы оптимизации,"Кохендерфер, Уилер",Вильямс,4 278 ₽,Нет скидки
"Мифический человеко-месяц, или Как создаются программные системы",Брукс Фредерик,Питер,1 710 ₽,Нет скидки
"Разработка приложений на С++ с использованием Boost. Рецепты, упрощающие разработку вашего приложени",Полухин Антон,ДМК-Пресс,1 777 ₽,Нет скидки
Введение в язык Pascal. Учебное пособие,"Абрамов, Трифонов, Трифонова",Кнорус,1 078 ₽,Нет скидки
Программирование квантовых компьютеров. Базовые алгоритмы и примеры кода,"Химено-Сеговиа, Хэрриган, Джонстон",Питер,1 715 ₽,Нет скидки
Разработка и реализац.портальн.решений: Практикум,"Лукьянов, Маркова",Прометей,499 ₽,Нет скидки
Транспортная логистика (линейное программирование). Учебное пособие,Пашков Николай Николаевич,Прометей,570 ₽,Нет скидки
Генетические алгоритмы на Python,Вирсански Эйял,ДМК-Пресс,1 777 ₽,Нет скидки
C#. Основы программирования. Учебное пособие,"Тюкачев, Хлебостроев",Лань,1 806 ₽,Нет скидки
Основы объектно-ориентированного программирования на базе языка С#. Учебное пособие,Залогова Любовь Алексеевна,Лань,695 ₽,Нет скидки
"Golang для профи. Работа с сетью, многопоточность, структуры данных и машинное обучение с Go",Цукалос Михалис,Питер,4 427 ₽,Нет скидки
Эффективный TypeScript. 62 способа улучшить код,Вандеркам Дэн,Питер,1 715 ₽,Нет скидки
Istio. Приступаем к работе,"Калькот, Бутчер",ДМК-Пресс,1 481 ₽,Нет скидки
Апокалипсис криптографии. Подготовка к криптовалютным вычислениям,Граймс Роджер А.,ДМК-Пресс,1 277 ₽,Нет скидки
Проектирование веб-API,Лоре Арно,ДМК-Пресс,1 777 ₽,Нет скидки
Глубокое обучение в картинках. Визуальный гид по искусственному интеллекту,"Крон, Бейлевельд, Аглаэ",Питер,1 700 ₽,Нет скидки
Глубокое обучение с подкреплением. AlphaGo и другие технологии,Лапань Максим,Питер,2 694 ₽,Нет скидки
Spring Boot 2. Лучшие практики для профессионалов,Гутьеррес Фелипе,Питер,2 722 ₽,Нет скидки
"Python. Искусственный интеллект, большие данные и облачные вычисления","Дейтел, Дейтел",Питер,3 431 ₽,Нет скидки
Эволюционные нейросети на языке Python,Омельяненко Ярослав,ДМК-Пресс,1 481 ₽,Нет скидки
Алгоритмы обучения с подкреплением на Python,Лонца Андреа,ДМК-Пресс,1 777 ₽,Нет скидки
Цифровой синтез. Практический курс,"Романов, Антонов, Панчул",ДМК-Пресс,2 073 ₽,Нет скидки
Системное программирование. Лабораторные работы. Учебное пособие,Жулабова Фатима Тахировна,Лань,844 ₽,Нет скидки
Криптография и взлом шифров на Python,Свейгарт Эл,Диалектика,2 187 ₽,Нет скидки
Программист-прагматик,"Томас, Хант",Диалектика,2 852 ₽,Нет скидки
Учимся программировать с примерами на Python,Фримен Эрик,Диалектика,2 852 ₽,Нет скидки
Параллельное программирование на C++ с помощью библиотеки TBB,"Восс, Асенхо, Рейндерс",ДМК-Пресс,2 221 ₽,Нет скидки
Предметно-ориентированное проектирование в Enterprise Java,Наир Виджей,ДМК-Пресс,1 924 ₽,Нет скидки
Генеративное глубокое обучение. Творческий потенциал нейронных сетей,Фостер Дэвид,Питер,2 275 ₽,Нет скидки
Анализ данных при помощи Microsoft Power BI и Power Pivot для Excel,"Феррари, Руссо",ДМК-Пресс,1 554 ₽,Нет скидки
Распределенные системы реального времени. Теория и практика,Эрджиес Кайхан,ДМК-Пресс,1 777 ₽,Нет скидки
Программирование на Python. Базовый курс,"Седжвик, Уэйн, Дондеро",Вильямс,2 187 ₽,Нет скидки
Нативная разработка мобильных приложений. Перекрестный справочник для iOS и Android,"Льюис, Данн",ДМК-Пресс,1 481 ₽,Нет скидки
Паттерны объектно-ориентированного проектирования,"Гамма, Хелм, Джонсон",Питер,1 029 ₽,Нет скидки
Применение пакета Matlab и Simulink для анализа электрических цепей. Том 1. Практикум,"Фриск, Ганин, Степанова",Солон-пресс,889 ₽,Нет скидки
Управление памятью в .NET для профессионалов,Кокоса Конрад,ДМК-Пресс,3 035 ₽,Нет скидки
Исследование операций и методы оптимизации. Учебное пособие,"Болотский, Кочеткова",Лань,383 ₽,Нет скидки
Веб-компоненты в действии,Фаррелл Бен,ДМК-Пресс,1 628 ₽,Нет скидки
