Название книги,Автор книги,Издательство,Цена,Скидка на книгу
Автоматизация программируемых сетей,"Эделман, Лоу, Осуолт",ДМК-Пресс,2 221 ₽,Нет скидки
"Разработка бизнес-приложений на платформе ""1С:Предприятие"". Учебное пособие",Дадян Эдуард Григорьевич,ИНФРА-М,1 611 ₽,Нет скидки
Базовые средства программирования на Visual Basic в среде VisualStudio .NET. Учебное пособие,Шакин Виктор Николаевич,Форум,1 811 ₽,Нет скидки
Прикладная обработка биомедицинских изображений в среде MATLAB. Учебное пособие,Федотов Александр Александрович,Лань,487 ₽,Нет скидки
Изучаем pandas,"Хейдт, Груздев",ДМК-Пресс,2 814 ₽,Нет скидки
Умные мобильные проекты с TensorFlow,Танг Джефф,ДМК-Пресс,1 481 ₽,Нет скидки
Этичный хакинг. Практическое руководство по взлому,Грэм Дэниел Г.,Питер,2 255 ₽,Нет скидки
Black Hat Go. Программирование для хакеров и пентестеров,"Коттманн, Паттен, Стил",Питер,2 511 ₽,Нет скидки
"Высоконагруженные приложения. Программирование, масштабирование, поддержка",Клеппман Мартин,Питер,2 962 ₽,Нет скидки
Теоретический минимум по Computer Science. Все что нужно программисту и разработчику,Феррейра Фило Владстон,Питер,921 ₽,Нет скидки
Программирование на C# для начинающих. Основные сведения,Васильев Алексей Николаевич,Бомбора,1 124 ₽,Нет скидки
HTML и CSS. Разработка и дизайн веб-сайтов,Дакетт Джон,Эксмо,1 818 ₽,Нет скидки
Алгоритмы на Java,"Седжвик, Уэйн",Вильямс,5 702 ₽,Нет скидки
C++. Полное руководство. Классическое издание,Шилдт Герберт,Вильямс,4 278 ₽,Нет скидки
Spring 5 для профессионалов,"Шефер, Харроп, Козмина",Вильямс,5 702 ₽,Нет скидки
Искусственный интеллект с примерами на Python. Создание приложений искусственного интеллекта,Джоши Пратик,Вильямс,2 852 ₽,Нет скидки
"Основы машинного обучения для аналитического прогнозирования. Алгоритмы, рабочие примеры","Келлехер, Мак-Нейми, д`Арси",Вильямс,3 612 ₽,Нет скидки
Прагматичный ИИ. Машинное обучение и облачные технологии,Гифт Ной,Питер,1 705 ₽,Нет скидки
Внедрение Splunk 7,Миллер Джеймс,ДМК-Пресс,1 924 ₽,Нет скидки
Java за 24 часа,Кейденхед Роджерс,Диалектика,1 426 ₽,Нет скидки
Совершенный алгоритм. Основы,Рафгарден Тим,Питер,1 349 ₽,Нет скидки
Дискретная математика. Учимся программировать в Wolfram Mathematica,"Фридман, Иванов",Питер,1 015 ₽,Нет скидки
Современные технологии программирования: разработка Windows-приложений на языке С#. Том 1,Горелов Сергей Витальевич,Прометей,784 ₽,Нет скидки
Основы технологий баз данных. Учебное пособие,"Новиков, Горшкова",ДМК-Пресс,851 ₽,Нет скидки
Mathematica 5/6/7. Полное руководство,Дьяконов Владимир Павлович,ДМК-Пресс,1 333 ₽,Нет скидки
Git для профессионального программиста,"Чакон, Страуб",Питер,1 558 ₽,Нет скидки
Простой Python просто с нуля,Гаско Рик,Солон-пресс,861 ₽,Нет скидки
C++. Базовый курс,Шилдт Герберт,Вильямс,2 852 ₽,Нет скидки
Моделирование объектов управления в MatLab. Учебное пособие,"Затонский, Тугашова",Лань,984 ₽,Нет скидки
Основы алгоритмизации и программирования (ОП.04). Практикум,Серкова Екатерина Геннадьевна,Феникс,572 ₽,Нет скидки
Программирование на C# для начинающих. Особенности языка,Васильев Александр Николаевич,Бомбора,1 117 ₽,Нет скидки
"Компиляторы. Принципы, технологии и инструментарий","Ахо, Ульман, Лам",Диалектика,7 128 ₽,Нет скидки
Архитектура вычислительных систем и Ассемблер,"Гагарина, Кононова",Солон-пресс,815 ₽,Нет скидки
Delphi. Программирование в примерах и задачах. Практикум: Учебное пособие,"Милорадов, Эйдлина",РИОР,820 ₽,Нет скидки
Delphi. Программирование в примерах и задачах. Практикум. Учебное пособие,"Милорадов, Эйдлина",РИОР,670 ₽,Нет скидки
"Web-аппликации в интернет-маркетинге. Проектирование, создание и применение. Практическое пособие","Винарский, Гутгарц",ИНФРА-М,1 227 ₽,Нет скидки
Java. Эффективное программирование,Блох Джошуа,Вильямс,3 612 ₽,Нет скидки
"Создаем динамические веб-сайты с помощью PHP, MySQL, JavaScript, CSS и HTML5",Никсон Робин,Питер,2 766 ₽,Нет скидки
Kubernetes в действии,Лукша Марко,ДМК-Пресс,2 368 ₽,Нет скидки
Смарт-карты и информационная безопасность,"Мытник, Панасенко",ДМК-Пресс,1 481 ₽,Нет скидки
Эффективный и современный С++. 42 рекомендации по использованию C++11 и C++14,Мейерс Скотт,Диалектика,2 852 ₽,Нет скидки
Изучаем регулярные выражения,Форта Бен,Вильямс,1 141 ₽,Нет скидки
Пользовательские истории. Гибкая разработка программного обеспечения,Кон Майк,Диалектика,2 852 ₽,Нет скидки
Python. Экспресс-курс,Седер Наоми,Питер,2 057 ₽,Нет скидки
Архитектура компьютера,"Таненбаум, Остин",Питер,2 212 ₽,Нет скидки
Java. Руководство для начинающих,Шилдт Герберт,Диалектика,3 612 ₽,Нет скидки
Алгоритмы. Построение и анализ,"Кормен, Лейзерсон, Ривест",Диалектика,8 555 ₽,Нет скидки
Изучай Erlang во имя добра!,Хеберт Фред,ДМК-Пресс,2 073 ₽,Нет скидки
Программируй на Haskell,Курт Уилл,ДМК-Пресс,2 368 ₽,Нет скидки
"Конфигурирование и моделирование в системе ""1С: Предприятие"". Учебник",Дадян Эдуард Григорьевич,ИНФРА-М,2 267 ₽,Нет скидки
Алгоритмы на C++,Седжвик Роберт,Вильямс,5 702 ₽,Нет скидки
Python. Справочник. Полное описание языка,"Мартелли, Рейвенскрофт, Холден",Диалектика,3 612 ₽,Нет скидки
Теоретический минимум по Big Data. Всё что нужно знать о больших данных,"Ын, Су",Питер,979 ₽,Нет скидки
Основы программирования на языке Python,Златопольский Дмитрий Михайлович,ДМК-Пресс,888 ₽,Нет скидки
Методы научных исследований в программной инженерии,Пантелеев Евгений Рафаилович,Лань,680 ₽,Нет скидки
Структуры данных в C#. Линейные и нелинейные динамические структуры. Учебное пособие,Симонова Елена Витальевна,Лань,887 ₽,Нет скидки
Программируем на Python,Доусон Майкл,Питер,1 372 ₽,Нет скидки
HTML5. Карманный справочник,Роббинс Дженнифер,Вильямс,1 141 ₽,Нет скидки
Искусство программирования. Том 4А. Комбинаторные алгоритмы. Часть 1,Кнут Дональд Эрвин,Вильямс,5 702 ₽,Нет скидки
Практика программирования,"Керниган, Пайк",Вильямс,2 187 ₽,Нет скидки
Введение в системы баз данных,Дейт К. Дж.,Диалектика,5 702 ₽,Нет скидки
Эволюционная архитектура. Поддержка непрерывных изменений,"Форд, Парсонс, Куа",Питер,1 270 ₽,Нет скидки
Unity в действии. Мультиплатформенная разработка на C#,Хокинг Джозеф,Питер,1 488 ₽,Нет скидки
Решение задач на современном C++,Бансила Мариус,ДМК-Пресс,1 628 ₽,Нет скидки
Философия Java,Эккель Брюс,Питер,3 432 ₽,Нет скидки
Python для сложных задач. Наука о данных и машинное обучение,Плас Дж. Вандер,Питер,1 985 ₽,Нет скидки
Разработка программных приложений в среде BlackBox. Учебное пособие,Болотнов Анатолий Миронович,Лань,881 ₽,Нет скидки
Технологии интеллектуального анализа данных. Учебное пособие,"Макшанов, Журавлев",Лань,1 160 ₽,Нет скидки
Осваиваем C++17 STL. Используйте компоненты стандартной библиотеки в C++17 STL в полной мере,О`Двайр Артур,ДМК-Пресс,1 777 ₽,Нет скидки
Язык программирования C,"Керниган, Ритчи",Вильямс,1 712 ₽,Нет скидки
Построение систем машинного обучения на языке Python,"Коэльо, Ричарт",ДМК-Пресс,1 036 ₽,Нет скидки
HTML и CSS. Разработка и дизайн веб-сайтов,Дакетт Джон,Эксмо,1 818 ₽,Нет скидки
Изучаем программирование на Python,Бэрри Пол,Эксмо,1 590 ₽,Нет скидки
Алгоритмы неформально. Инструкция для начинающих питонистов,Брэдфорд Такфилд,Питер,1 417 ₽,Нет скидки
Программирование на C++ в примерах и задачах,Васильев Алексей Николаевич,Эксмо-Пресс,760 ₽,Нет скидки
С++ для начинающих,Шилдт Герберт,Эком,776 ₽,Нет скидки
Архитектура компьютера,"Таненбаум, Остин",Питер,2 212 ₽,Нет скидки
Python. Карманный справочник,Лутц Марк,Диалектика,1 141 ₽,Нет скидки
Искусство программирования. Том 1. Основные алгоритмы,Кнут Дональд Эрвин,Вильямс,5 037 ₽,Нет скидки
"Шаблоны интеграции корпоративных приложений. Проектирование, создание и развертывание решений","Хоп, Вульф",Диалектика,5 037 ₽,Нет скидки
Язык программирования C. Лекции и упражнения,Прата Стивен,Диалектика,5 037 ₽,Нет скидки
C# 4.0. Полное руководство,Шилдт Герберт,Диалектика,3 612 ₽,Нет скидки
Реализация методов предметно-ориентированного проектирования,Вернон Вон,Диалектика,4 278 ₽,Нет скидки
Веб-программирование для чайников,Никхил Абрахам,Диалектика,1 712 ₽,Нет скидки
Язык программирования Go,"Керниган, Донован",Диалектика,2 187 ₽,Нет скидки
Angular. Сборник рецептов,Фрисби Мэтт,Вильямс,1 426 ₽,Нет скидки
Java. Полное руководство,Шилдт Герберт,Вильямс,5 227 ₽,Нет скидки
Компиляторы. Краткий справочник,Хантер Робин,Вильямс,856 ₽,Нет скидки
Структуры данных и алгоритмы,"Ахо, Ульман, Хопкрофт",Вильямс,2 852 ₽,Нет скидки
Шаблоны C++. Справочник разработчика,"Вандевурд, Джосаттис, Грегор",Диалектика,3 612 ₽,Нет скидки
Java Persistence API и Hibernate,"Бауэр, Кинг, Грегори",ДМК-Пресс,1 628 ₽,Нет скидки
Байесовские модели. Байесовская статистика на языке Python,Дауни Аллен Б.,ДМК-Пресс,1 036 ₽,Нет скидки
CLR via C#. Программирование на платформе Microsoft .NET Framework 4.5 на языке C#. 4-е издание,Рихтер Джеффри,Питер,2 637 ₽,Нет скидки
Грокаем алгоритмы. Иллюстрированное пособие для программистов и любопытствующих,Бхаргава Адитья,Питер,1 030 ₽,Нет скидки
Ядро ORACLE. Внутреннее устройство для администраторо и разработчиков баз данных,Льюис Джонатан,ДМК-Пресс,1 406 ₽,Нет скидки
Идеальный программист. Как стать профессионалом разработки ПО,Мартин Роберт С.,Питер,821 ₽,Нет скидки
Apache Kafka. Потоковая обработка и анализ данных,"Нархид, Шапира, Палино",Питер,1 738 ₽,Нет скидки
Site Reliability Engineering. Надежность и безотказность как в Google,"Бейер, Джоунс, Петофф",Питер,2 377 ₽,Нет скидки
Akka в действии,"Рестенбург, Баккер, Уильямс",ДМК-Пресс,2 073 ₽,Нет скидки
Искусство создания сценариев в Unity,Торн Алан,ДМК-Пресс,1 184 ₽,Нет скидки
Основы работы с технологией CUDA,"Боресков, Харламов",ДМК-Пресс,591 ₽,Нет скидки
WebGL. Программирование трехмерной графики,"Мацуда, Ли",ДМК-Пресс,1 184 ₽,Нет скидки
Чистый Python. Тонкости программирования для профи,Бейдер Дэн,Питер,1 548 ₽,Нет скидки
Введение в распределенное моделирование в среде NetLogo,Ершов Николай Михайлович,ДМК-Пресс,1 333 ₽,Нет скидки
"Искусственный интеллект .NET. Речь, язык и поиск","Патак, Бхандари",ДМК-Пресс,1 184 ₽,Нет скидки
Элегантный SciPy,"Нуньес-Иглесиас, Ван, Дэншоу",ДМК-Пресс,1 851 ₽,Нет скидки
Стандартная библиотека Python 3. Справочник с примерами,Хеллман Даг,Диалектика,5 227 ₽,Нет скидки
Олимпиадное программирование,Лааксонен Антти,ДМК-Пресс,987 ₽,Нет скидки
Язык декларативного программирования XAML,Подбельский Вадим Валерьевич,ДМК-Пресс,1 110 ₽,Нет скидки
Математика на Python. Часть 1. Элементы линейной алгебры,"Александрова, Балджы, Хрипунова",Прометей,285 ₽,Нет скидки
Облачные технологии поддержки решения задач анализа безубыточности. Монография,Смирнов Денис Евгеньевич,Прометей,285 ₽,Нет скидки
Программист-фанатик,Фаулер Чед,Питер,749 ₽,Нет скидки
C# 7 и .NET Core. Кросс-платформенная разработка для профессионалов,Прайс Марк Дж.,Питер,2 209 ₽,Нет скидки
Компьютерные вирусы и антивирусы: взгляд программиста,Климентьев Константин Евгеньевич,ДМК-Пресс,1 184 ₽,Нет скидки
Прикладное программирование. Учебное пособие,Никифоров Сергей Николаевич,Лань,760 ₽,Нет скидки
Программирование на C# для начинающих. Основные сведения,Васильев Алексей Николаевич,Бомбора,1 124 ₽,Нет скидки
Алгоритмы для чайников,"Массарон, Мюллер",Диалектика,1 712 ₽,Нет скидки
Хакинг. Искусство эксплойта,Эриксон Джон,Питер,1 974 ₽,Нет скидки
Глубокое обучение на Python,Шолле Франсуа,Питер,1 758 ₽,Нет скидки
C# 7.0. Справочник. Полное описание языка,"Албахари, Албахари",Диалектика,3 612 ₽,Нет скидки
Java SE 9. Базовый курс,Хорстманн Кей С.,Диалектика,3 612 ₽,Нет скидки
LabVIEW в научных исследованиях,"Евдокимов, Линдваль, Щербаков",ДМК-Пресс,1 110 ₽,Нет скидки
Python. Разработка на основе тестирования,Персиваль Гарри,ДМК-Пресс,2 814 ₽,Нет скидки
"Чистый код. Создание, анализ и рефакторинг",Мартин Роберт С.,Питер,899 ₽,Нет скидки
Разработка одностраничных веб-приложений,"Миковски, Пауэлл",ДМК-Пресс,1 184 ₽,Нет скидки
Теоретический минимум по Computer Science. Все что нужно программисту и разработчику,Феррейра Фило Владстон,Питер,921 ₽,Нет скидки
Программирование искусственного интеллекта в приложениях,Джонс М. Тим,ДМК-Пресс,740 ₽,Нет скидки
Программирование на Ардуино. От простого к сложному,Мамичев Дмитрий Иванович,Солон-пресс,640 ₽,Нет скидки
Запускаем Ansible,"Хохштейн, Мозер",ДМК-Пресс,1 777 ₽,Нет скидки
Современный Java. Рецепты программирования,Коузен Кен,ДМК-Пресс,1 184 ₽,Нет скидки
Сам себе программист. Как научиться программировать и устроиться в Ebay?,Альтхофф Кори,Бомбора,734 ₽,Нет скидки
"Программное обеспечение геодезии, фотограм, кадастра, инж.из.",Браверман Борис Аронович,Инфра-Инженерия,792 ₽,Нет скидки
Собираем устройства для тестов на проникновение,Бирюков Андрей Александрович,ДМК-Пресс,1 702 ₽,Нет скидки
Java. Карманный справочник,"Лигуори, Лигуори",Вильямс,1 426 ₽,Нет скидки
Чистая архитектура. Искусство разработки программного обеспечения,Мартин Роберт С.,Питер,1 115 ₽,Нет скидки
Объектно Ориентированное Программирование,Гаско Рик,Солон-пресс,978 ₽,Нет скидки
Программирование на Python. Первые шаги,Щерба Анастасия Владимировна,Лаборатория знаний,681 ₽,Нет скидки
Хочу в геймдев! Основы игровой разработки для начинающих,"Уточкин, Сахнов",Бомбора,965 ₽,Нет скидки
Python без проблем. Решаем реальные задачи и пишем полезный код,Зингаро Даниэль,Питер,1 617 ₽,Нет скидки
System Design. Подготовка к сложному интервью,Сюй Алекс,Питер,1 404 ₽,Нет скидки
"Чистый код. Создание, анализ и рефакторинг",Мартин Роберт С.,Питер,899 ₽,Нет скидки
С++ для начинающих,Шилдт Герберт,Эком,776 ₽,Нет скидки
Чистая архитектура. Искусство разработки программного обеспечения,Мартин Роберт С.,Питер,1 115 ₽,Нет скидки
Объектно Ориентированное Программирование,Гаско Рик,Солон-пресс,978 ₽,Нет скидки
Простая Математика для Простых Программистов,Гаско Рик,Солон-пресс,790 ₽,Нет скидки
Простой учебник программирования,Гаско Рик,Солон-пресс,889 ₽,Нет скидки
Потоковая обработка данных. Конвейер реального времени,Пселтис Эндрю Дж.,ДМК-Пресс,1 110 ₽,Нет скидки
Java для чайников,Берд Барри,Диалектика,2 187 ₽,Нет скидки
Психбольница в руках пациентов. Алан Купер об интерфейсах,Купер Алан,Питер,1 528 ₽,Нет скидки
"Высоконагруженные приложения. Программирование, масштабирование, поддержка",Клеппман Мартин,Питер,2 962 ₽,Нет скидки
Глубокое обучение с точки зрения практика,"Паттерсон, Гибсон",ДМК-Пресс,1 924 ₽,Нет скидки
Релевантный поиск с использованием Elasticsearch и Solr,"Тарнбулл, Берримен",ДМК-Пресс,1 924 ₽,Нет скидки
Программирование на языке Rust. Цветное издание,"Блэнди, Орендорф",ДМК-Пресс,2 670 ₽,Нет скидки
Алгоритмы для начинающих. Теория и практика для разработчика,Луридас Панос,Бомбора,1 219 ₽,Нет скидки
Язык С в XXI веке,Клеменс Бен,ДМК-Пресс,1 406 ₽,Нет скидки
Android. Сборник рецептов. Задачи и решения для разработчиков приложений,Дарвин Ян Ф.,Диалектика,3 612 ₽,Нет скидки
Официальное руководство Cisco по подготовке к сертификационным экзаменам CCENT/CCNA ICND1 100-105,Одом Уэнделл,Вильямс,7 128 ₽,Нет скидки
Теория и практика делового общения для разработчиков программного обеспечения и IT-менеджеров,Абельская Раиса Шолемовна,Флинта,178 ₽,Нет скидки
Анализ социальных медиа на Python,Бонцанини Марко,ДМК-Пресс,1 628 ₽,Нет скидки
Глубокое обучение (цветная),"Бенджио, Гудфеллоу, Курвилль",ДМК-Пресс,2 837 ₽,Нет скидки
"Прямые и обратные задачи восстановления изображений, спектроскопии и томографии с MatLab (+CD)",Сизиков Валерий Сергеевич,Лань,2 122 ₽,Нет скидки
Функциональное программирование на JavaScript. Как улучшить код JavaScript-программ,Атенсио Луис,Вильямс,2 852 ₽,Нет скидки
Разработка операционной системы и компилятора. Проект Оберон,"Вирт, Гуткнехт",ДМК-Пресс,1 184 ₽,Нет скидки
CodeVisionAVR. Пособие для начинающих,Лебедев Михаил Борисович,ДМК-Пресс,1 036 ₽,Нет скидки
"Как написать безопасный код на С++, Java, Perl, PHP, ASP.NET","Ховард, Лебланк, Виега",ДМК-Пресс,740 ₽,Нет скидки
Scala. Профессиональное программирование,"Одерски, Спун, Веннерс",Питер,2 480 ₽,Нет скидки
Искусство алгоритмизации,Потопахин Виталий Валерьевич,ДМК-Пресс,815 ₽,Нет скидки
Java 9. Полный обзор нововведений,Кишори Шаран,ДМК-Пресс,1 481 ₽,Нет скидки
Kotlin в действии,"Жемеров, Исакова",ДМК-Пресс,1 481 ₽,Нет скидки
Конкурентное программирование на Scala,Прокопец Александр,ДМК-Пресс,1 258 ₽,Нет скидки
Крупномасштабное машинное обучение вместе с Python,"Шарден, Массарон, Боскетти",ДМК-Пресс,1 628 ₽,Нет скидки
Программирование на Clojure,"Эмерик, Карпер, Гранд",ДМК-Пресс,1 777 ₽,Нет скидки
C# 7.0. Карманный справочник. Скорая помощь для программистов на C# 7.0,"Албахари, Албахари",Вильямс,1 141 ₽,Нет скидки
Адаптивный код. Гибкое кодирование с помощью паттернов проектирования и принципов SOLID,Холл Гэри Маклин,Вильямс,2 852 ₽,Нет скидки
Секреты JavaScript ниндзя,"Резиг, Бибо, Марас",Вильямс,3 612 ₽,Нет скидки
Курс программирования на языке Си. Учебник,"Подбельский, Фомин",ДМК-Пресс,1 333 ₽,Нет скидки
СУБД для программиста. Базы данных изнутри,Тарасов Сергей Витальевич,Солон-пресс,881 ₽,Нет скидки
Объектно-ориентированное программирование в С++,Лафоре Роберт,Питер,2 539 ₽,Нет скидки
Язык программирования C++. Базовый курс,"Липпман, Лажойе, Му",Вильямс,5 037 ₽,Нет скидки
Машинное обучение с использованием библиотеки Н2О,Кук Даррен,ДМК-Пресс,1 184 ₽,Нет скидки
Программирование. Принципы и практика с использованием C++,Страуструп Бьярне,Вильямс,5 702 ₽,Нет скидки
Создаем нейронную сеть,Рашид Тарик,Вильямс,2 852 ₽,Нет скидки
Библиотека Keras - инструмент глубокого обучения,"Джулли, Пал",ДМК-Пресс,1 333 ₽,Нет скидки
Визуализация данных с помощью библиотеки D3.js 4.x,"Рининсланд, Свизек",ДМК-Пресс,1 036 ₽,Нет скидки
Шаблоны корпоративных приложений,Фаулер Мартин,Диалектика,4 278 ₽,Нет скидки
Raspberry Pi. Сборник рецептов. Решение программных и аппаратных задач,Монк Саймон,Диалектика,2 852 ₽,Нет скидки
JavaScript в примерах и задачах,Нет автора книги,Эксмо-Пресс,1 062 ₽,Нет скидки
Visual C# 2.0.NET. Полное руководство,"Прайс, Гандэрлой",Корона-Принт,548 ₽,Нет скидки
Предметно-ориентированное проектирование (DDD). Структуризация сложных программных систем,Эванс Эрик,Вильямс,5 702 ₽,Нет скидки
Язык программирования C++. Лекции и упражнения,Прата Стивен,Диалектика,5 702 ₽,Нет скидки
C++ для чайников,Дэвис Стефан Рэнди,Диалектика,1 426 ₽,Нет скидки
"Программирование командных оболочек в Unix, Linux и OS X","Кочан, Вуд",Диалектика,2 852 ₽,Нет скидки
Рефакторинг. Улучшение проекта существующего кода,"Бек, Фаулер, Брант",Диалектика,3 612 ₽,Нет скидки
Изучаем программирование на Python,Бэрри Пол,Эксмо,1 590 ₽,Нет скидки
Семь баз данных за семь недель. Введение в современные базы данных и идеологию NoSQL,"Редмонд, Уилсон",ДМК-Пресс,1 333 ₽,Нет скидки
jQuery в действии,"Бибо, Кац, Де",Питер,1 415 ₽,Нет скидки
Шаблоны проектирования Node.JS,"Касиаро, Маммино",ДМК-Пресс,1 258 ₽,Нет скидки
Разработка современных веб-приложений. Анализ предметных областей и технологий,Эспозито Дино,Вильямс,2 377 ₽,Нет скидки
Vulkan. Руководство разработчика,"Селлерс, Кессенич",ДМК-Пресс,1 406 ₽,Нет скидки
Среда динамического моделирования технических систем SimInTech. Практикум по моделированию систем,"Карташов, Козлов, Шабаев",ДМК-Пресс,1 777 ₽,Нет скидки
"Алгоритмы. Справочник с примерами на C, C++, Java и Python","Хайнеман, Поллис, Селков",Вильямс,2 852 ₽,Нет скидки
Изучаем JavaScript. Руководство по созданию современных веб-сайтов,Браун Этан,Вильямс,2 187 ₽,Нет скидки
Head First. Паттерны проектирования,"Фримен, Сьерра, Робсон",Питер,2 127 ₽,Нет скидки
"Чистый код. Создание, анализ и рефакторинг",Мартин Роберт С.,Питер,899 ₽,Нет скидки
Философия Java,Эккель Брюс,Питер,3 432 ₽,Нет скидки
Алгоритмы неформально. Инструкция для начинающих питонистов,Брэдфорд Такфилд,Питер,1 417 ₽,Нет скидки
Язык программирования С++,Страуструп Бьерн,Бином,1 716 ₽,Нет скидки
System Design. Подготовка к сложному интервью,Сюй Алекс,Питер,1 404 ₽,Нет скидки
Flash MX для профессиональных программистов. Учебное пособие,"Капустин, Капустин, Копылова",Просвещение/Бином,307 ₽,Нет скидки
Программирование на Java для начинающих,Васильев Алексей Николаевич,Эксмо-Пресс,1 062 ₽,Нет скидки
