Название книги,Автор книги,Издательство,Цена,Скидка на книгу
Javascript и jQuery. Интерактивная веб-разработка,Дакетт Джон,Эксмо,2 165 ₽,Нет скидки
Предметно-ориентированное проектирование. Самое основное,Вернон Вон,Диалектика,2 187 ₽,Нет скидки
Введение в Elixir. Введение в функциональное программирование,"Сенлорен, Эйзенберг",ДМК-Пресс,1 036 ₽,Нет скидки
Моделирование аукционов,Демешев Борис Борисович,ДМК-Пресс,961 ₽,Нет скидки
Как самому написать мобильную 2D-игру,Язев Юрий Евгеньевич,Солон-пресс,815 ₽,Нет скидки
Python и машинное обучение,Рашка Себастьян,ДМК-Пресс,2 221 ₽,Нет скидки
Проектирование пользовательского интерфейса в Android,Клифтон Ян,ДМК-Пресс,1 481 ₽,Нет скидки
Программирование на C в примерах и задачах,Васильев Алексей Николаевич,Эксмо-Пресс,1 165 ₽,Нет скидки
"Прикладная криптография. Протоколы, алгоритмы и исходный код на C",Шнайер Брюс,Диалектика,7 128 ₽,Нет скидки
ASP.NET Core MVC с примерами на C# для профессионалов,Фримен Адам,Диалектика,5 037 ₽,Нет скидки
"Стек, или Путешествие туда и обратно",Вторников Алексей Анатольевич,ДМК-Пресс,666 ₽,Нет скидки
Программирование на Visual Basic для начинающих,МакГрат Майк,Эксмо-Пресс,650 ₽,Нет скидки
Реактивное программирование с использованием RxJava,"Нуркевич, Кристенсен",ДМК-Пресс,1 406 ₽,Нет скидки
Изучаем PHP 7. Руководство по созданию интерактивных веб-сайтов,Скляр Дэвид,Диалектика,2 852 ₽,Нет скидки
Не заставляйте меня думать. Веб-юзабилити и здравый смысл,Круг Стив,Эксмо-Пресс,856 ₽,Нет скидки
Go на практике,"Батчер, Фарина",ДМК-Пресс,1 333 ₽,Нет скидки
Методы разработки математических моделей и вычислительный эксперимент на базе пакета MATLAB,Плохотников Константин Эдуардович,Солон-пресс,1 383 ₽,Нет скидки
"Гибкая разработка программ на Java и C++. Принципы, паттерны и методики",Мартин Роберт С.,Диалектика,5 702 ₽,Нет скидки
Цифровая обработка сигналов на языке Python,Дауни Аллен Б.,ДМК-Пресс,591 ₽,Нет скидки
Программирование на C++ в примерах и задачах,Васильев Алексей Николаевич,Эксмо-Пресс,760 ₽,Нет скидки
Cassandra. Полное руководство,"Карпентер, Хьюитт",ДМК-Пресс,1 406 ₽,Нет скидки
Изучаем Angular 2,Дилеман Пабло,ДМК-Пресс,1 036 ₽,Нет скидки
Разработка обслуживаемых программ на языке C#,Виссер Джуст,ДМК-Пресс,666 ₽,Нет скидки
XBRL для чайников,"Хоффман, Уотсон",Диалектика,2 187 ₽,Нет скидки
Разработка геоприложений на языке Python,Вестра Эрик,ДМК-Пресс,1 628 ₽,Нет скидки
Инженерия требований,"Халл, Джексон, Дик",ДМК-Пресс,1 333 ₽,Нет скидки
Программирование PIC - микроконтроллеров на PicBasic,Хелибайк Чак,Додека XXI век,666 ₽,Нет скидки
Введение в современные САПР. Курс лекций,Малюх Владимир Николаевич,ДМК-Пресс,518 ₽,Нет скидки
Функциональное программирование на F#,Сошников Дмитрий Валерьевич,ДМК-Пресс,518 ₽,Нет скидки
Скользкие места С++. Как избежать проблем  при проектировании и компиляции ваших программ,Дьюхэрст Стефан К.,ДМК-Пресс,815 ₽,Нет скидки
Программируем микрокомпьютер NXT в LabVIEW,"Белиовская, Белиовский",ДМК-Пресс,496 ₽,Нет скидки
Dart в действии,Баккет Крис,ДМК-Пресс,1 554 ₽,Нет скидки
MATLAB. Полный самоучитель,Дьяконов Владимир Павлович,ДМК-Пресс,2 221 ₽,Нет скидки
С для программистов с введением в С11,"Дейтел, Дейтел",ДМК-Пресс,1 406 ₽,Нет скидки
Параллельное и конкурентное программирование на Haskell,Марлоу Саймон,ДМК-Пресс,1 184 ₽,Нет скидки
Практическое использование Common Lisp,Сайбель Питер,ДМК-Пресс,1 777 ₽,Нет скидки
Сбор данных в Интернете на языке R,Храмов Дмитрий Александрович,ДМК-Пресс,961 ₽,Нет скидки
Unity 5.x. Программирование искусственного интеллекта в играх,Паласиос Хорхе,ДМК-Пресс,1 036 ₽,Нет скидки
Программирование микроконтроллеров. Стратегия и тактика,Матюшин Андрей Олегович,ДМК-Пресс,1 184 ₽,Нет скидки
Ruby on Rails для начинающих. Изучаем разработку веб-приложений на основе Rails,Хартл Майкл,ДМК-Пресс,1 924 ₽,Нет скидки
Программирование и отладка С/С++ приложений для микроконтроллеров ARM,Магда Юрий Степанович,ДМК-Пресс,639 ₽,Нет скидки
Эффективное использование С++. 55 верных способов улучшить структуру и код ваших программ,Мэйерс Скотт,ДМК-Пресс,993 ₽,Нет скидки
"Assembler. Для DOS, Windows и Unix",Зубков Сергей Владимирович,ДМК-Пресс,1 406 ₽,Нет скидки
Лямбда-выражения в Java 8. Функциональное программирование - в массы,Уорбэртон Ричард,ДМК-Пресс,591 ₽,Нет скидки
Системная инженерия. Принципы и практика,"Косяков, Свит, Сеймур",ДМК-Пресс,1 777 ₽,Нет скидки
Оптимизация приложений на платформе .Net,"Голдштейн, Зурбалев, Флатов",ДМК-Пресс,1 928 ₽,Нет скидки
Интерфейс. Основы проектирования взаимодействия,"Купер, Рейман, Кронин",Питер,2 266 ₽,Нет скидки
Аналоговые интерфейсы микроконтроллеров,Болл Стюарт Р.,Додека XXI век,888 ₽,Нет скидки
Практическое использование Vim. Редактируйте текст со скоростью мысли,Нейл Дрю,ДМК-Пресс,1 333 ₽,Нет скидки
Анализ сетей (графов) в среде R. Руководство пользователя,Люк Дуглас А.,ДМК-Пресс,1 554 ₽,Нет скидки
Основы проектирования в Autodesk Inventor 2016,Зиновьев Дмитрий Валериевич,ДМК-Пресс,591 ₽,Нет скидки
Bootstrap в примерах,Морето Сильвио,ДМК-Пресс,1 036 ₽,Нет скидки
Изучай Haskell во имя добра!,Липовача Миран,ДМК-Пресс,1 333 ₽,Нет скидки
Matlab & Simulink. Проектирование мехатронных систем на ПК. Учебное пособие для ВУЗов + CD,Герман-Галкин Сергей Германович,Корона-Принт,398 ₽,Нет скидки
10 практических устройств на AVR-микроконтроллерах. Книга 2 +CD,Кравченко Алексей Владимирович,Корона-Принт,349 ₽,Нет скидки
Вычислительная геометрия. Алгоритмы и приложения,"Де, Чеонг, Ван",ДМК-Пресс,2 368 ₽,Нет скидки
Разработка веб-приложений в ReactJS,"Хортон, Вайс",ДМК-Пресс,1 333 ₽,Нет скидки
Введение в статистическое обучение с примерами на языке R,"Джеймс, Уиттон, Тибширани",ДМК-Пресс,2 221 ₽,Нет скидки
"Чистый код. Создание, анализ и рефакторинг",Мартин Роберт С.,Питер,899 ₽,Нет скидки
Программируем на Python,Доусон Майкл,Питер,1 372 ₽,Нет скидки
Язык программирования С++,Страуструп Бьерн,Бином,1 716 ₽,Нет скидки
HTML и CSS. Разработка и дизайн веб-сайтов,Дакетт Джон,Эксмо,1 818 ₽,Нет скидки
Паттерны объектно-ориентированного проектирования,"Гамма, Хелм, Джонсон",Питер,1 029 ₽,Нет скидки
Язык программирования C,"Керниган, Ритчи",Вильямс,1 712 ₽,Нет скидки
Разработка веб-приложений в ReactJS,"Хортон, Вайс",ДМК-Пресс,1 333 ₽,Нет скидки
Введение в статистическое обучение с примерами на языке R,"Джеймс, Уиттон, Тибширани",ДМК-Пресс,2 221 ₽,Нет скидки
Современное программирование с нуля!,Потопахин Виталий Валерьевич,ДМК-Пресс,518 ₽,Нет скидки
Программирование на языке Lua,Иерузалимски Роберту,ДМК-Пресс,1 258 ₽,Нет скидки
Android NDK. Руководство для начинающих,Ретабоуил Сильвен,ДМК-Пресс,1 483 ₽,Нет скидки
Скрапинг веб-сайтов с помощью Python. Сбор данных из современного интернета,Митчелл Райан,ДМК-Пресс,1 258 ₽,Нет скидки
C# 6.0. Справочник. Полное описание языка,"Албахари, Албахари",Вильямс,3 612 ₽,Нет скидки
LabVIEW: стиль программирования,Блюм Питер,ДМК-Пресс,666 ₽,Нет скидки
Искусство автономного тестирования с примерами на С#,Ошероув Рой,ДМК-Пресс,1 481 ₽,Нет скидки
Графовые базы данных. Новые возможности для работы,"Робинсон, Вебер, Эифрем",ДМК-Пресс,1 110 ₽,Нет скидки
Руководство по микропроцессорному обеспечению,Нет автора книги,ДМК-Пресс,1 036 ₽,Нет скидки
Чисто функциональные структуры данных,Окасаки Крис,ДМК-Пресс,1 184 ₽,Нет скидки
Программирование компьютерного зрения на языке Python,Солем Ян Эрик,ДМК-Пресс,1 333 ₽,Нет скидки
"UML Проектирование систем реального времени, распределенных и параллельных приложений",Гома Хассан,ДМК-Пресс,1 851 ₽,Нет скидки
"Периферийные устройства: интерфейсы, схемотехника, программирование",Авдеев Вадим Александрович,ДМК-Пресс,1 333 ₽,Нет скидки
R в действии. Анализ и визуализация данных на языке R,Кабаков Роберт И.,ДМК-Пресс,1 481 ₽,Нет скидки
Анализ больших наборов данных,"Лесковец, Ульман, Раджараман",ДМК-Пресс,1 777 ₽,Нет скидки
Построение компиляторов,Вирт Никлаус,ДМК-Пресс,740 ₽,Нет скидки
Современный PHP. Новые возможности и передовой опыт,Локхарт Джош,ДМК-Пресс,961 ₽,Нет скидки
MATLAB. Теория и практика,Гилат Амос,ДМК-Пресс,1 628 ₽,Нет скидки
Параллельное программирование на С++ в действии. Практика разработки многопоточных программ,Уильямс Энтони,ДМК-Пресс,1 702 ₽,Нет скидки
Наиболее эффективное использование С++. 35 новых рекомендаций  по улучшению ваших программ,Мейерс Скотт,ДМК-Пресс,1 036 ₽,Нет скидки
Численные методы анализа и линейной алгебры. Использование Matlab и Scilab. Учебное пособие,Квасов Борис Ильич,Лань,1 135 ₽,Нет скидки
Введение в надежное и безопасное распределенное программирование,"Качина, Гуерру, Родригес",ДМК-Пресс,1 924 ₽,Нет скидки
C# 6.0. Карманный справочник,"Албахари, Албахари",Вильямс,571 ₽,Нет скидки
Разработка веб-приложений с использованием Flask на языке Python,Гринберг Мигель,ДМК-Пресс,1 258 ₽,Нет скидки
Введение в ECMAScript 6,Прасти Нараян,ДМК-Пресс,740 ₽,Нет скидки
Программирование для Windows на С/С++. В 2-х томах. Том 2,Мартынов Николай Николаевич,Бином,249 ₽,Нет скидки
Программирование мобильных устройств на платформе .Net Compact Framework,Самре Иво,Вильямс,666 ₽,Нет скидки
"Разработка приложений для iPhone, iPad и iPod touch с использованием iOS SDK","Марк, Наттинг, Ламарш",Вильямс,1 426 ₽,Нет скидки
Silverlight 5 с примерами на C# для профессионалов,Мак-Дональд Мэтью,Вильямс,1 712 ₽,Нет скидки
Java EE 7. Основы,Гупта Арун,Вильямс,856 ₽,Нет скидки
Java SE 8. Вводный курс,Хорстманн Кей С.,Вильямс,856 ₽,Нет скидки
Joomla! Для профессионалов,Рамел Дэн,Вильямс,1 426 ₽,Нет скидки
Microsoft Exchange Server 2013. Полное руководство,"Моримото, Ноэл, Ярдени",Вильямс,2 852 ₽,Нет скидки
WinRT. программирование на C# для профессионалов,"Рихтер, ван",Вильямс,1 426 ₽,Нет скидки
"Программирование для iOS 7. Основы Objective-C, Xcode и Cocoa",Нойбург Мэтт,Вильямс,1 141 ₽,Нет скидки
Руководство для программиста на Java. 75 рекомендаций по написанию надежных и защищенных программ,"Лонг, Мохиндра, Сикорд",Вильямс,761 ₽,Нет скидки
Drupal 7. Руководство пользователя,Колисниченко Денис Николаевич,Диалектика,286 ₽,Нет скидки
Joomla 2.5. Руководство пользователя,Колисниченко Денис Николаевич,Диалектика,475 ₽,Нет скидки
C# 5.0 и платформа .NET 4.5 для профессионалов,"Глинн, Нейгел, Ивьен",Диалектика,2 187 ₽,Нет скидки
Python на практике,Саммерфилд Марк,ДМК-Пресс,1 184 ₽,Нет скидки
Линейное программирование. Руководство к решению задач,Лунгу Константин Никитович,Физматлит,209 ₽,Нет скидки
Поисковая адаптация. Теория и практика,"Курейчик, Лебедев, Лебедев",Физматлит,455 ₽,Нет скидки
Методы оптимальных решений. В 2 томах. Том 1. Общие положения. Математическое программирование,"Соколов, Токарев",Физматлит,1 115 ₽,Нет скидки
Методы оптимальных решений. В 2 томах. Том 2. Многокритериальность. Динамика. Неопределенность,Токарев Владислав Васильевич,Физматлит,1 059 ₽,Нет скидки
Компьютерное моделирование логических процессов. Архитектура и язык решателя задач,Подколзин Александр Сергеевич,Физматлит,1 176 ₽,Нет скидки
Дизайн и эволюция языка С++,Страуструп Бьерн,ДМК-Пресс,1 110 ₽,Нет скидки
Обработка естественного языка на Java,Риз Ричард,ДМК-Пресс,1 036 ₽,Нет скидки
Теория вычислений для программистов,Стюарт Том,ДМК-Пресс,1 184 ₽,Нет скидки
Алгоритмы и структуры данных. Новая версия для Оберона,Вирт Никлаус,ДМК-Пресс,961 ₽,Нет скидки
Искусство поиска решения в нестандартной задаче,Потопахин Виталий Валерьевич,ДМК-Пресс,443 ₽,Нет скидки
Программирование на Python для начинающих,МакГрат Майк,Эксмо-Пресс,673 ₽,Нет скидки
Применение Web-стандартов. CSS и Ajax для больших сайтов,"Шмитт, Блессинг, Черни",Корона-Принт,197 ₽,Нет скидки
Автоматизированные информационно-управляющие системы с применением SCADA-системы TRACE MODE,Пьявченко Тамила Алексеевна,Лань,1 390 ₽,Нет скидки
ATDD. Разработка программного обеспечения через приемочные тесты. Практический подход,Гэртнер Маркус,ДМК-Пресс,961 ₽,Нет скидки
Читаем Тьюринга. Путешествие по исторической статье Тьюринга о вычислимости и машинах Тьюринга,Петцольд Чарльз,ДМК-Пресс,1 481 ₽,Нет скидки
Шейдеры и эффекты в Unity. Книга рецептов,Ламмерс Кенни,ДМК-Пресс,815 ₽,Нет скидки
JavaScript и jQuery. Исчерпывающее руководство,Макфарланд Дэвид,Эксмо,1 772 ₽,Нет скидки
Полезное программирование. Уникальное руководство,Комлев Николай Юрьевич,Солон-пресс,697 ₽,Нет скидки
Язык программирования C,"Керниган, Ритчи",Вильямс,1 712 ₽,Нет скидки
Black Hat Go. Программирование для хакеров и пентестеров,"Коттманн, Паттен, Стил",Питер,2 511 ₽,Нет скидки
"Изучаем Python. Программирование игр, визуализация данных, веб-приложения",Мэтиз Эрик,Питер,1 667 ₽,Нет скидки
Программирование на Python. Первые шаги,Щерба Анастасия Владимировна,Лаборатория знаний,681 ₽,Нет скидки
Хочу в геймдев! Основы игровой разработки для начинающих,"Уточкин, Сахнов",Бомбора,965 ₽,Нет скидки
С++ для начинающих,Шилдт Герберт,Эком,776 ₽,Нет скидки
Справочник по языку Haskell,Душкин Роман Викторович,ДМК-Пресс,961 ₽,Нет скидки
Программирование на ассемблере на платформе x86-64,Аблязов Руслан Зуфярович,ДМК-Пресс,666 ₽,Нет скидки
Семантический веб,"Антониоу, Грос, Хоекстра",ДМК-Пресс,888 ₽,Нет скидки
Функциональное программирование на языке Haskell,Душкин Роман Викторович,ДМК-Пресс,1 036 ₽,Нет скидки
Программирование на языке Go. Разработка приложений XXI века,Саммерфильд Марк,ДМК-Пресс,1 481 ₽,Нет скидки
Разработка программного обеспечения: управление изменениями,"Белладжио, Миллиган",ДМК-Пресс,616 ₽,Нет скидки
От математики к обобщенному программированию,"Степанов, Роуз",ДМК-Пресс,1 184 ₽,Нет скидки
Изучаем программирование на JavaScript,"Фримен, Робсон",Питер,2 594 ₽,Нет скидки
Путь Ruby,"Фултон, Арко",ДМК-Пресс,1 481 ₽,Нет скидки
Изучаем Spark,"Карау, Конвински, Венделл",ДМК-Пресс,961 ₽,Нет скидки
Статистический анализ и визуализация данных с помощью R,"Мастицкий, Шитиков",ДМК-Пресс,1 481 ₽,Нет скидки
LLVM. Инфраструктура для разработки компиляторов,"Кардос, Аулер",ДМК-Пресс,961 ₽,Нет скидки
OpenGL ES 3.0. Руководство разработчика,"Гинсбург, Пурномо",ДМК-Пресс,1 924 ₽,Нет скидки
Современный Фортран на практике,Маркус Арьен,ДМК-Пресс,1 110 ₽,Нет скидки
Квантовые вычисления и функциональное программирование,Душкин Роман Викторович,ДМК-Пресс,815 ₽,Нет скидки
Создание облачных и мобильных приложений на языке F#,Мол Дэниел,ДМК-Пресс,591 ₽,Нет скидки
"Проектирование на ПЛИС. Архитектура, средства и методы. Курс молодого бойца",Максфилд Клайв,ДМК-Пресс,1 481 ₽,Нет скидки
Программирование микроконтроллеров ATMEL на языке C (+CD),Прокопенко Вадим Сергеевич,Корона-Принт,747 ₽,Нет скидки
Семь моделей конкуренции и параллелизма за семь недель,Батчер Пол,ДМК-Пресс,1 333 ₽,Нет скидки
Адаптивные и инвариантные алгоритмы обнаружения объектов на изображениях и их моделирование в Matla,Волков Владимир Юрьевич,Лань,870 ₽,Нет скидки
Дневник охотника за ошибками. Путешествие через джунгли проблем безопасности программного обеспеч.,Клейн Тобиас,ДМК-Пресс,1 184 ₽,Нет скидки
Введение в UML от создателей языка,"Рамбо, Якобсон, Буч",ДМК-Пресс,1 333 ₽,Нет скидки
Технологии программирования на Java 2. Распределенные приложения,"Дейтел, Дейтел, Сантри",Бином,497 ₽,Нет скидки
Silverlight 4. Создание насыщенных Web-приложений,Байдачный Сергей Сергеевич,Солон-пресс,392 ₽,Нет скидки
EJB 3 в действии,"Панда, Рахман, Купрак",ДМК-Пресс,1 481 ₽,Нет скидки
"Обработка неструктурированных текстов. Поиск, организация и манипулирование","Ингерсолл, Иортон, Фэррис",ДМК-Пресс,1 110 ₽,Нет скидки
Жемчужины проектирования алгоритмов. Функциональный подход. С примерами на языке Haskell,Бёрд Ричард,ДМК-Пресс,1 258 ₽,Нет скидки
"Программирование в Delphi для Windows: Версии 2006, 2007, Turbo Delphi (+СD)",Архангельский Алексей Яковлевич,Бином,995 ₽,Нет скидки
Практика программирования на языке Паскаль. Задачи и решения,Медведик Владимир Иванович,ДМК-Пресс,1 036 ₽,Нет скидки
Методы обработки и распознавания изображений лиц в задачах биометрии,"Кухарев, Каменская, Матвеев",Политехника,667 ₽,Нет скидки
Эффективные технологии создания информационных систем,"Мещеряков, Иванов",Политехника,318 ₽,Нет скидки
Введение в теорию языков программирования,"Довек, Леви",ДМК-Пресс,591 ₽,Нет скидки
Spring в действии,Уоллс Крейг,ДМК-Пресс,1 773 ₽,Нет скидки
Программирование на языке OCaml,"Мински, Мадхавапедди, Хикки",ДМК-Пресс,1 481 ₽,Нет скидки
CUDA Fortran для инженеров и научных работников. Рекомендации по эффективному программированию,"Рутш, Фатика",ДМК-Пресс,888 ₽,Нет скидки
Платформа Windows Azure,"Редкар, Тони",ДМК-Пресс,1 184 ₽,Нет скидки
"За пределами ""Linux с нуля"". Версия 7.4. Том 2",Нет автора книги,ДМК-Пресс,1 184 ₽,Нет скидки
.NET Сетевое программирование,"Кумар, Кровчик, Лагари",Лори,901 ₽,Нет скидки
Редкая профессия,Зуев Евгений Александрович,ДМК-Пресс,443 ₽,Нет скидки
Моделирование электротехнических устройств в MATLAB. SimPowerSystems и Simulink,Черных Илья Викторович,ДМК-Пресс,591 ₽,Нет скидки
Java. Эффективное программирование,Блох Джошуа,Лори,820 ₽,Нет скидки
Разработка веб-приложений с использованием AngularJS,"Козловский, Бэкон",ДМК-Пресс,961 ₽,Нет скидки
Основы теории вейвлетов. Вейвлеты в MATLAB,Смоленцев Николай Константинович,ДМК-Пресс,864 ₽,Нет скидки
LabVIEW. Практический курс для инженеров и разработчиков,Магда Юрий Степанович,ДМК-Пресс,443 ₽,Нет скидки
"Принципы построения, применения и проектирования компьютерной платформы U-SYS","Росляков, Крылов",Солон-пресс,236 ₽,Нет скидки
Разработка приложений Java EE 6 в NetBeans 7,Хеффельфингер Дэвид,ДМК-Пресс,888 ₽,Нет скидки
Курс практического программирования в Delphi. Объектно – ориентированное программирование. Практикум,Санников Е. В.,Солон-пресс,618 ₽,Нет скидки
C++ AMP. Построение массивно параллельных программ с помощью Microsoft Visual C++,"Грегори, Миллер",ДМК-Пресс,1 036 ₽,Нет скидки
Оптимизация производительности приложений для iOS. Для профессионалов,Во Ханг,ДМК-Пресс,679 ₽,Нет скидки
Структуры данных и алгоритмы в Java. Классика Computers Science,Лафоре Роберт,Питер,2 830 ₽,Нет скидки
Программирование на алгоритмическом языке КуМир,"Анеликова, Гусева",Солон-пресс,198 ₽,Нет скидки
Создание web-приложений в Silverlight,Буньон Лоран,ДМК-Пресс,553 ₽,Нет скидки
С++ для начинающих,Шилдт Герберт,Эком,776 ₽,Нет скидки
Профессиональное программирование приложений для iPhone и iPad,Баклин Джин,Эксмо,1 010 ₽,Нет скидки
Silverlight. Практическое руководство,Браун Пит,Питер,1 399 ₽,Нет скидки
PHP. Создание динамических страниц,Пауэрс Дэвид,Рид Групп,1 135 ₽,Нет скидки
Изучаем Java,"Сьерра, Бейтс",Эксмо,1 590 ₽,Нет скидки
1С: Предприятие 8.2. Коротко о главном. Новые возможности версии 8.2 (+CD),Радченко Максим Григорьевич,1С,184 ₽,Нет скидки
"Как настраивать ""1С: Предприятие 8.2"" при внедрении +СD",Ажеронок Валентин Александрович,1С,178 ₽,Нет скидки
Macromedia Authorware 6.0. Разработка мультимедийных учебных курсов,Гультяев Алексей Константинович,Корона-Принт,219 ₽,Нет скидки
Паттерны объектно-ориентированного проектирования,"Гамма, Хелм, Джонсон",Питер,1 029 ₽,Нет скидки
"Изучаем Python. Программирование игр, визуализация данных, веб-приложения",Мэтиз Эрик,Питер,1 667 ₽,Нет скидки
Алгоритмы неформально. Инструкция для начинающих питонистов,Брэдфорд Такфилд,Питер,1 417 ₽,Нет скидки
System Design. Подготовка к сложному интервью,Сюй Алекс,Питер,1 404 ₽,Нет скидки
Black Hat Go. Программирование для хакеров и пентестеров,"Коттманн, Паттен, Стил",Питер,2 511 ₽,Нет скидки
Философия Java,Эккель Брюс,Питер,3 432 ₽,Нет скидки
"Как настраивать ""1С: Предприятие 8.2"" при внедрении +СD",Ажеронок Валентин Александрович,1С,178 ₽,Нет скидки
Macromedia Authorware 6.0. Разработка мультимедийных учебных курсов,Гультяев Алексей Константинович,Корона-Принт,219 ₽,Нет скидки
Руководство разработчика по Microsoft Enterprise Library,"Хоумер, Ботто, Мельник",Эком,497 ₽,Нет скидки
Микрокомпьютерные системы управления. Первое знакомство,Суэмацу Есикадзу,Додека XXI век,591 ₽,Нет скидки
Silverlight 2. Технология создания интернет-приложений,Буньон Лоран,ДМК-Пресс,444 ₽,Нет скидки
Make Build Autotools. Управление программными проектами,Солдатов Вячеслав Петрович,Бином,448 ₽,Нет скидки
